nazwa	szerokosc	dlugosc	wojewodztwo	powiat
Aleksandrów Kujawski	52.8766	18.6934	kujawsko-pomorskie	aleksandrowski
Aleksandrów Łódzki	51.8194	19.3038	łódzkie	zgierski
Alwernia	50.0598	19.5396	małopolskie	chrzanowski
Andrychów	49.8552	19.3375	małopolskie	wadowicki
Annopol	50.8854	21.8569	lubelskie	kraśnicki
Augustów	53.8442	22.9802	podlaskie	augustowski
Babimost	52.1647	15.8275	lubuskie	zielonogórski
Baborów	50.1573	17.9889	opolskie	głubczycki
Baranów Sandomierski	50.4973	21.5432	podkarpackie	tarnobrzeski
Barcin	52.8574	17.9419	kujawsko-pomorskie	żniński
Barczewo	53.8302	20.6927	warmińsko-mazurskie	olsztyński
Bardo	50.5063	16.7404	dolnośląskie	ząbkowicki
Barlinek	52.9973	15.2195	zachodniopomorskie	myśliborski
Bartoszyce	54.2510	20.8095	warmińsko-mazurskie	bartoszycki
Barwice	53.7448	16.3552	zachodniopomorskie	szczecinecki
Bełchatów	51.3625	19.3651	łódzkie	bełchatowski
Bełżyce	51.1746	22.2819	lubelskie	lubelski
Będzin	50.3243	19.1358	śląskie	będziński
Biała	50.3854	17.6598	opolskie	prudnicki
Biała Piska	53.6108	22.0619	warmińsko-mazurskie	piski
Biała Podlaska	52.0324	23.1165	lubelskie	Biała Podlaska
Biała Rawska	51.8083	20.4742	łódzkie	rawski
Białobrzegi	51.6454	20.9539	mazowieckie	białobrzeski
Białogard	54.0083	15.9858	zachodniopomorskie	białogardzki
Biały Bór	53.8962	16.8355	zachodniopomorskie	szczecinecki
Białystok	53.1323	23.1687	podlaskie	Białystok
Biecz	49.7310	21.2538	małopolskie	gorlicki
Bielawa	50.6845	16.6118	dolnośląskie	dzierżoniowski
Bielsk Podlaski	52.7686	23.1916	podlaskie	bielski
Bielsko-Biała	49.8222	19.0451	śląskie	Bielsko-Biała
Bieruń	50.0917	19.0911	śląskie	bieruńsko-lędziński
Bierutów	51.1253	17.5441	dolnośląskie	oleśnicki
Bieżuń	52.9596	19.8885	mazowieckie	żuromiński
Biłgoraj	50.5355	22.7203	lubelskie	biłgorajski
Biskupiec	53.8634	20.9563	warmińsko-mazurskie	olsztyński
Bisztynek	54.0860	20.9014	warmińsko-mazurskie	bartoszycki
Blachownia	50.7842	18.9625	śląskie	częstochowski
Błaszki	51.6517	18.4377	łódzkie	sieradzki
Błażowa	49.8853	22.1006	podkarpackie	rzeszowski
Błonie	52.1950	20.6178	mazowieckie	warszawski zachodni
Bobolice	53.9556	16.5895	zachodniopomorskie	koszaliński
Bobowa	49.7089	20.9451	małopolskie	gorlicki
Bochnia	49.9693	20.4326	małopolskie	bocheński
Bodzanów	52.5000	20.0324	mazowieckie	płocki
Bodzentyn	50.9410	20.9570	świętokrzyskie	kielecki
Bogatynia	50.9047	14.9572	dolnośląskie	zgorzelecki
Boguchwała	49.9823	21.9396	podkarpackie	rzeszowski
Boguszów-Gorce	50.7559	16.2050	dolnośląskie	wałbrzyski
Bojanowo	51.7074	16.7489	wielkopolskie	rawicki
Bolesławiec	51.2630	15.5648	dolnośląskie	bolesławiecki
Bolimów	52.0764	20.1636	łódzkie	skierniewicki
Bolków	50.9222	16.1007	dolnośląskie	jaworski
Borek Wielkopolski	51.9165	17.2422	wielkopolskie	gostyński
Borne Sulinowo	53.5815	16.5383	zachodniopomorskie	szczecinecki
Braniewo	54.3823	19.8217	warmińsko-mazurskie	braniewski
Brańsk	52.7433	22.8414	podlaskie	bielski
Brodnica	53.2564	19.4027	kujawsko-pomorskie	brodnicki
Brok	52.6984	21.8575	mazowieckie	ostrowski
Brusy	53.8852	17.7243	pomorskie	chojnicki
Brwinów	52.1422	20.7169	mazowieckie	pruszkowski
Brzeg	50.8616	17.4699	opolskie	brzeski
Brzeg Dolny	51.2603	16.7197	dolnośląskie	wołowski
Brzesko	49.9683	20.6078	małopolskie	brzeski
Brzeszcze	49.9830	19.1441	małopolskie	oświęcimski
Brześć Kujawski	52.6064	18.9007	kujawsko-pomorskie	włocławski
Brzeziny	51.7996	19.7535	łódzkie	brzeziński
Brzostek	49.8791	21.4117	podkarpackie	dębicki
Brzozów	49.6943	22.0194	podkarpackie	brzozowski
Budzyń	52.8901	16.9878	wielkopolskie	chodzieski
Buk	52.3554	16.5197	wielkopolskie	poznański
Bukowno	50.2677	19.4627	małopolskie	olkuski
Busko-Zdrój	50.4707	20.7197	świętokrzyskie	buski
Bychawa	51.0149	22.5351	lubelskie	lubelski
Byczyna	51.1141	18.2142	opolskie	kluczborski
Bydgoszcz	53.1254	18.0014	kujawsko-pomorskie	Bydgoszcz
Bystrzyca Kłodzka	50.2975	16.6503	dolnośląskie	kłodzki
Bytom	50.3484	18.9157	śląskie	Bytom
Bytom Odrzański	51.7296	15.8254	lubuskie	nowosolski
Bytów	54.1698	17.4893	pomorskie	bytowski
Cedynia	52.8783	14.2033	zachodniopomorskie	gryfiński
Cegłów	52.1469	21.7400	mazowieckie	miński
Chełm	51.1336	23.4702	lubelskie	Chełm
Chełmek	50.1006	19.2583	małopolskie	oświęcimski
Chełmno	53.3507	18.4302	kujawsko-pomorskie	chełmiński
Chełmża	53.1866	18.6096	kujawsko-pomorskie	toruński
Chęciny	50.8005	20.4623	świętokrzyskie	kielecki
Chmielnik	50.6143	20.7518	świętokrzyskie	kielecki
Chocianów	51.4198	15.9025	dolnośląskie	polkowicki
Chociwel	53.4693	15.3352	zachodniopomorskie	stargardzki
Chocz	51.9770	17.8703	wielkopolskie	pleszewski
Chodecz	52.4047	19.0289	kujawsko-pomorskie	włocławski
Chodzież	52.9923	16.9154	wielkopolskie	chodzieski
Chojna	52.9634	14.4327	zachodniopomorskie	gryfiński
Chojnice	53.6943	17.5668	pomorskie	chojnicki
Chojnów	51.2734	15.9365	dolnośląskie	legnicki
Choroszcz	53.1451	22.9918	podlaskie	białostocki
Chorzele	53.2602	20.8970	mazowieckie	przasnyski
Chorzów	50.2995	18.9524	śląskie	Chorzów
Choszczno	53.1674	15.4196	zachodniopomorskie	choszczeński
Chrzanów	50.1416	19.4113	małopolskie	chrzanowski
Ciechanowiec	52.6791	22.5001	podlaskie	wysokomazowiecki
Ciechanów	52.8823	20.6096	mazowieckie	ciechanowski
Ciechocinek	52.8787	18.7871	kujawsko-pomorskie	aleksandrowski
Cieszanów	50.2456	23.1317	podkarpackie	lubaczowski
Cieszyn	49.7486	18.6339	śląskie	cieszyński
Ciężkowice	49.7864	20.9742	małopolskie	tarnowski
Cybinka	52.1946	14.7959	lubuskie	słubicki
Czaplinek	53.5588	16.2331	zachodniopomorskie	drawski
Czarna Białostocka	53.3058	23.2822	podlaskie	białostocki
Czarna Woda	53.8445	18.0999	pomorskie	starogardzki
Czarne	53.6836	16.9402	pomorskie	człuchowski
Czarnków	52.9047	16.5644	wielkopolskie	czarnkowsko-trzcianecki
Czarny Dunajec	49.4401	19.8530	małopolskie	nowotarski
Czchów	49.8338	20.6735	małopolskie	brzeski
Czechowice-Dziedzice	49.9112	19.0071	śląskie	bielski
Czeladź	50.3152	19.0716	śląskie	będziński
Czempiń	52.1429	16.7613	wielkopolskie	kościański
Czerniejewo	52.4267	17.4893	wielkopolskie	gnieźnieński
Czersk	53.7951	17.9764	pomorskie	chojnicki
Czerwieńsk	52.0130	15.4234	lubuskie	zielonogórski
Czerwińsk nad Wisłą	52.3938	20.3128	mazowieckie	płoński
Czerwionka-Leszczyny	50.1590	18.6636	śląskie	rybnicki
Częstochowa	50.8119	19.1279	śląskie	Częstochowa
Człopa	53.0863	16.1217	zachodniopomorskie	wałecki
Człuchów	53.6672	17.3589	pomorskie	człuchowski
Czyżew	52.7987	22.3166	podlaskie	wysokomazowiecki
Ćmielów	50.8903	21.5100	świętokrzyskie	ostrowiecki
Daleszyce	50.8014	20.8067	świętokrzyskie	kielecki
Darłowo	54.4210	16.4103	zachodniopomorskie	sławieński
Dąbie	52.0884	18.8223	wielkopolskie	kolski
Dąbrowa Białostocka	53.6536	23.3480	podlaskie	sokólski
Dąbrowa Górnicza	50.3261	19.2054	śląskie	Dąbrowa Górnicza
Dąbrowa Tarnowska	50.1745	20.9864	małopolskie	dąbrowski
Dąbrowice	52.3154	19.0847	łódzkie	kutnowski
Debrzno	53.5384	17.2354	pomorskie	człuchowski
Dębica	50.0509	21.4068	podkarpackie	dębicki
Dęblin	51.5615	21.8428	lubelskie	rycki
Dębno	52.7356	14.7022	zachodniopomorskie	myśliborski
Dobczyce	49.8807	20.0928	małopolskie	myślenicki
Dobiegniew	52.9704	15.7531	lubuskie	strzelecko-drezdenecki
Dobra	51.9160	18.6152	wielkopolskie	turecki
Dobra	53.5862	15.3073	zachodniopomorskie	łobeski
Dobre Miasto	53.9893	20.3953	warmińsko-mazurskie	olsztyński
Dobrodzień	50.7285	18.4433	opolskie	oleski
Dobrzany	53.3583	15.4289	zachodniopomorskie	stargardzki
Dobrzyca	51.8634	17.6011	wielkopolskie	pleszewski
Dobrzyń nad Wisłą	52.6383	19.3227	kujawsko-pomorskie	lipnowski
Dolsk	51.9871	17.0638	wielkopolskie	śremski
Drawno	53.2185	15.7562	zachodniopomorskie	choszczeński
Drawsko Pomorskie	53.5309	15.8096	zachodniopomorskie	drawski
Drezdenko	52.8360	15.8312	lubuskie	strzelecko-drezdenecki
Drobin	52.7372	19.9955	mazowieckie	płocki
Drohiczyn	52.3986	22.6588	podlaskie	siemiatycki
Drzewica	51.4505	20.4773	łódzkie	opoczyński
Dubiecko	49.8250	22.3924	podkarpackie	przemyski
Dukla	49.5551	21.6843	podkarpackie	krośnieński
Duszniki-Zdrój	50.4041	16.3900	dolnośląskie	kłodzki
Dynów	49.8184	22.2280	podkarpackie	rzeszowski
Działdowo	53.2386	20.1825	warmińsko-mazurskie	działdowski
Działoszyce	50.3656	20.3517	świętokrzyskie	pińczowski
Działoszyn	51.1169	18.8653	łódzkie	pajęczański
Dzierzgoń	53.9224	19.3468	pomorskie	sztumski
Dzierżoniów	50.7291	16.6488	dolnośląskie	dzierżoniowski
Dziwnów	54.0276	14.7603	zachodniopomorskie	kamieński
Elbląg	54.1614	19.4098	warmińsko-mazurskie	Elbląg
Ełk	53.8229	22.3527	warmińsko-mazurskie	ełcki
Frampol	50.6716	22.6707	lubelskie	biłgorajski
Frombork	54.3570	19.6820	warmińsko-mazurskie	braniewski
Garwolin	51.8972	21.6149	mazowieckie	garwoliński
Gąbin	52.3990	19.7328	mazowieckie	płocki
Gdańsk	54.3519	18.6463	pomorskie	Gdańsk
Gdynia	54.5177	18.5388	pomorskie	Gdynia
Giżycko	54.0399	21.7715	warmińsko-mazurskie	giżycki
Glinojeck	52.8194	20.2913	mazowieckie	ciechanowski
Gliwice	50.2921	18.6671	śląskie	Gliwice
Głogów	51.6646	16.0797	dolnośląskie	głogowski
Głogów Małopolski	50.1511	21.9602	podkarpackie	rzeszowski
Głogówek	50.3534	17.8645	opolskie	prudnicki
Głowno	51.9678	19.7139	łódzkie	zgierski
Głubczyce	50.2001	17.8303	opolskie	głubczycki
Głuchołazy	50.3151	17.3835	opolskie	nyski
Głuszyca	50.6875	16.3717	dolnośląskie	wałbrzyski
Gniew	53.8354	18.8223	pomorskie	tczewski
Gniewkowo	52.8928	18.4086	kujawsko-pomorskie	inowrocławski
Gniezno	52.5333	17.6014	wielkopolskie	gnieźnieński
Gogolin	50.4915	18.0222	opolskie	krapkowicki
Golczewo	53.8246	14.9785	zachodniopomorskie	kamieński
Goleniów	53.5632	14.8296	zachodniopomorskie	goleniowski
Golina	52.2443	18.0950	wielkopolskie	koniński
Golub-Dobrzyń	53.1092	19.0524	kujawsko-pomorskie	golubsko-dobrzyński
Gołańcz	52.9434	17.3012	wielkopolskie	wągrowiecki
Gołdap	54.3071	22.3022	warmińsko-mazurskie	gołdapski
Goniądz	53.4881	22.7347	podlaskie	moniecki
Goraj	50.7213	22.6671	lubelskie	biłgorajski
Gorlice	49.6549	21.1598	małopolskie	gorlicki
Gorzów Śląski	51.0282	18.4223	opolskie	oleski
Gorzów Wielkopolski	52.7310	15.2383	lubuskie	Gorzów Wielkopolski
Gostynin	52.4292	19.4619	mazowieckie	gostyniński
Gostyń	51.8821	17.0123	wielkopolskie	gostyński
Gościno	54.0514	15.6526	zachodniopomorskie	kołobrzeski
Gozdnica	51.4380	15.0966	lubuskie	żagański
Góra	51.6680	16.5390	dolnośląskie	górowski
Góra Kalwaria	51.9817	21.2160	mazowieckie	piaseczyński
Górowo Iławeckie	54.2878	20.4909	warmińsko-mazurskie	bartoszycki
Górzno	53.1977	19.6435	kujawsko-pomorskie	brodnicki
Grabów nad Prosną	51.5083	18.1145	wielkopolskie	ostrzeszowski
Grajewo	53.6470	22.4549	podlaskie	grajewski
Grodków	50.6985	17.3852	opolskie	brzeski
Grodzisk Mazowiecki	52.1036	20.6260	mazowieckie	grodziski
Grodzisk Wielkopolski	52.2246	16.3642	wielkopolskie	grodziski
Grójec	51.8655	20.8667	mazowieckie	grójecki
Grudziądz	53.4880	18.7530	kujawsko-pomorskie	Grudziądz
Grybów	49.6243	20.9477	małopolskie	nowosądecki
Gryfice	53.9161	15.1987	zachodniopomorskie	gryficki
Gryfino	53.2567	14.4894	zachodniopomorskie	gryfiński
Gryfów Śląski	51.0281	15.4147	dolnośląskie	lwówecki
Gubin	51.9549	14.7270	lubuskie	krośnieński
Hajnówka	52.7431	23.5831	podlaskie	hajnowski
Halinów	52.2242	21.3597	mazowieckie	miński
Hel	54.6053	18.8026	pomorskie	pucki
Hrubieszów	50.8051	23.8898	lubelskie	hrubieszowski
Iława	53.5902	19.5698	warmińsko-mazurskie	iławski
Iłowa	51.5047	15.2018	lubuskie	żagański
Iłża	51.1637	21.2370	mazowieckie	radomski
Imielin	50.1462	19.1857	śląskie	bieruńsko-lędziński
